"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
138,"delayed",626,82,"12","Mon",14,1348,FALSE,38,1639,27,"DL","CMH","OH",39.99799,-82.89188
209,"delayed",1020,150,"9","Thur",17,700,FALSE,4,1042,47,"DL","LGA","NY",40.77724,-73.87261
457,"delayed",1008,135,"7","Wed",15,1145,FALSE,274,1529,293,"EV","EWR","NJ",40.6925,-74.16866
213,"on time",1299,188,"5","Tue",12,2155,FALSE,-4,2310,18,"NK","LAS","NV",36.08036,-115.15233
284,"delayed",1124,133,"12","Tue",29,1000,FALSE,110,1346,118,"DL","BOS","MA",42.36435,-71.00518
217,"on time",1299,174,"7","Mon",13,1945,FALSE,-6,2107,15,"DL","LAS","NV",36.08036,-115.15233
202,"delayed",1020,134,"3","Thur",26,1730,FALSE,44,2112,40,"DL","LGA","NY",40.77724,-73.87261
214,"delayed",680,93,"3","Fri",20,1640,FALSE,101,1759,75,"UA","DEN","CO",39.85841,-104.667
270,"delayed",1501,193,"8","Mon",3,1010,FALSE,50,1448,52,"DL","MIA","FL",25.79325,-80.29056
123,"delayed",349,111,"5","Fri",29,1030,FALSE,-2,1200,33,"WN","MDW","IL",41.78598,-87.75242
283,"delayed",1522,256,"12","Thur",10,1746,FALSE,-8,1949,40,"DL","SNA","CA",33.67566,-117.86822
140,"delayed",528,70,"7","Sun",26,1910,FALSE,43,2150,40,"DL","DTW","MI",42.21206,-83.34884
210,"delayed",1124,140,"5","Sun",31,1311,FALSE,42,1701,40,"DL","BOS","MA",42.36435,-71.00518
217,"delayed",1008,135,"6","Tue",2,1656,FALSE,40,2045,48,"EV","EWR","NJ",40.6925,-74.16866
155,"on time",907,113,"7","Sat",18,630,FALSE,4,947,18,"DL","ATL","GA",33.64044,-84.42694
186,"delayed",907,111,"3","Wed",11,1740,FALSE,60,2110,36,"DL","ATL","GA",33.64044,-84.42694
124,"delayed",282,45,"3","Sat",21,1950,FALSE,67,2103,51,"DL","OMA","NE",41.30252,-95.89417
189,"delayed",1020,163,"11","Wed",11,905,FALSE,-6,1240,34,"DL","LGA","NY",40.77724,-73.87261
131,"delayed",503,69,"2","Fri",20,1940,FALSE,13,2220,31,"DL","IND","IN",39.71733,-86.29438
184,"delayed",694,104,"3","Wed",25,1340,FALSE,35,1548,56,"OO","OKC","OK",35.39309,-97.60073
209,"delayed",489,74,"3","Wed",4,1450,FALSE,120,1535,104,"OO","RAP","SD",44.04532,-103.05737
