"success","goal","duration","name_length","blurb_length","launch_hr","deadline_hr","created_at_hr","deadline_weekday","created_at_weekday","category","country","currency","launch_month","launch_weekday"
"FALSE",500,9,5,12,22,22,16,"Monday","Friday","Web","US","USD","Aug","Sat"
"FALSE",57750,33,3,9,12,12,15,"Monday","Tuesday","Web","US","USD","Jul","Wed"
"FALSE",400,30,2,16,12,12,7,"Thursday","Saturday","Web","GB","GBP","Mar","Tue"
"FALSE",10000,60,3,11,13,13,0,"Sunday","Wednesday","Web","US","USD","Aug","Wed"
"FALSE",500,20,5,15,17,17,12,"Monday","Monday","Web","GB","GBP","Jul","Tue"
"FALSE",20000,60,5,11,19,19,16,"Tuesday","Friday","Web","US","USD","Sep","Fri"
"FALSE",15000,30,5,12,8,8,9,"Thursday","Saturday","Web","US","USD","Jun","Tue"
"FALSE",5000,30,1,6,18,18,19,"Friday","Friday","Web","US","USD","Jul","Wed"
"FALSE",10000,30,5,11,13,13,14,"Sunday","Wednesday","Web","US","USD","Oct","Fri"
"FALSE",3000,40.9984375,4,18,13,13,2,"Wednesday","Monday","Web","GB","GBP","Jul","Thu"
"FALSE",10000,32.2199305555556,6,14,16,22,10,"Sunday","Wednesday","Web","US","USD","Nov","Wed"
"FALSE",12000,30,9,17,12,12,13,"Friday","Thursday","Web","US","USD","Apr","Wed"
"FALSE",6000,30,8,15,23,23,22,"Wednesday","Sunday","Web","US","USD","May","Mon"
"FALSE",5000,60,1,9,17,17,8,"Monday","Thursday","Web","GB","GBP","Jan","Thu"
"FALSE",8500,30,2,16,11,11,15,"Wednesday","Friday","Web","US","USD","Nov","Mon"
"FALSE",50000,30,1,13,6,6,15,"Saturday","Monday","Web","GB","GBP","Oct","Thu"
"FALSE",15000,60,4,17,14,14,10,"Wednesday","Thursday","Web","US","USD","Jun","Sat"
"FALSE",20000,60,3,9,13,13,12,"Saturday","Sunday","Web","DE","EUR","Oct","Tue"
"FALSE",65000,41.1424768518519,7,15,9,12,12,"Wednesday","Sunday","Web","GB","GBP","Nov","Thu"
"FALSE",55000,32.4973263888889,5,8,5,16,7,"Thursday","Tuesday","Web","FR","EUR","Feb","Sun"
"FALSE",5000,30,7,16,16,16,0,"Friday","Wednesday","Web","AU","AUD","Aug","Wed"
"FALSE",1e+05,31.3406365740741,7,12,8,17,8,"Saturday","Sunday","Web","SE","SEK","Jan","Wed"
"FALSE",650000,45,5,17,3,3,9,"Thursday","Monday","Web","SE","SEK","Feb","Mon"
"FALSE",25000,30,6,11,15,15,18,"Friday","Wednesday","Web","US","USD","Feb","Wed"
"FALSE",14000,29.8148611111111,3,11,3,23,23,"Saturday","Monday","Web","CH","CHF","Nov","Fri"
"FALSE",10000,25,3,14,13,13,4,"Sunday","Wednesday","Web","NL","EUR","Nov","Wed"
"FALSE",20000,30,1,13,12,12,9,"Saturday","Tuesday","Web","LU","EUR","Jun","Thu"
"FALSE",25000,30,1,12,10,10,9,"Wednesday","Saturday","Web","US","USD","Apr","Mon"
"FALSE",42000,31.1214699074074,3,5,16,19,10,"Saturday","Friday","Web","US","USD","Jul","Wed"
"FALSE",15000,30,10,1,2,2,14,"Wednesday","Thursday","Web","DE","EUR","Jun","Mon"
"FALSE",15000,30,12,22,10,10,5,"Sunday","Friday","Web","NL","EUR","Jun","Fri"
"FALSE",30000,35,1,16,19,19,17,"Wednesday","Wednesday","Web","US","USD","Oct","Wed"
"FALSE",25000,30,3,12,21,21,16,"Sunday","Tuesday","Web","US","USD","Apr","Fri"
"FALSE",30000,58.9216435185185,7,17,12,10,10,"Friday","Thursday","Web","US","USD","Aug","Tue"
"FALSE",20000,34.3900694444444,2,14,19,5,6,"Monday","Monday","Web","AU","AUD","Jul","Mon"
"FALSE",1100,21,6,12,6,6,21,"Monday","Friday","Web","GB","GBP","Apr","Mon"
"FALSE",8000,30,1,14,9,9,9,"Saturday","Wednesday","Web","GB","GBP","Aug","Thu"
"FALSE",15000,45,5,16,17,17,7,"Friday","Monday","Web","US","USD","Jul","Tue"
"FALSE",9000,60,4,11,20,20,21,"Friday","Tuesday","Web","AU","AUD","Feb","Mon"
"FALSE",2000,30,3,11,14,14,13,"Sunday","Tuesday","Web","US","USD","Apr","Fri"
"FALSE",10000,30,6,14,18,18,16,"Sunday","Monday","Web","US","USD","May","Fri"
"FALSE",500,30,3,11,12,12,9,"Friday","Monday","Web","FR","EUR","Feb","Wed"
