"id","name","mobility","state","population","urban","seg_racial","seg_income","seg_poverty","seg_affluenc.e","commute","income","gini","share_01","gini_99","middle_class","local_tax_rate","local_gov_spending","progressivity","eitc","school_spending","student_teacher_ratio","colleges","tuition","graduation","labor_force_participation","manufacturing","teenage_labor","migration_in","migration_out","social_capital","longitude","latitude"
29700,"Springfield",0.071467616,"MO",440866,"urban",0.067,0.073,0.061,0.084,0.344,31926,0.463,12.472,0.338,0.57,0.014,1639,0,0,4.77,16.5,0.023,5048,0.027,0.644,0.144,0.005,0.02,0.015,0.311,-92.95655823,37.47497177
29800,"Aurora",0.074891463,"MO",137575,"rural",0.053,0.008,0.007,0.008,0.363,31417,0.384,9.762,0.287,0.565,0.014,1288,0,0,5.398,15.3,0.007,NA,0.263,0.613,0.174,0.005,0.021,0.022,-0.161,-93.49754333,36.80260468
29901,"Joplin",0.072286703,"MO",266742,"urban",0.101,0.024,0.021,0.026,0.454,30456,0.428,12.377,0.304,0.581,0.016,1445,0,0,4.965,16.8,0.03,1858,0.008,0.637,0.212,0.005,0.014,0.014,0.232,-94.71572113,37.22660828
29902,"Center",0.085664339,"MO",54651,"rural",0.014,0.01,0.011,0.01,0.467,28968,0.342,6.683,0.275,0.581,0.012,1668,0,0,4.534,15.5,0.018,8800,0.247,0.591,0.216,0.005,0.016,0.015,0.415,-94.09624481,37.770298
30000,"Russellville",0.088736087,"AR",138646,"rural",0.108,0.021,0.013,0.035,0.404,28758,0.444,10.927,0.335,0.527,0.011,1303,1,0,4.529,17.3,0.014,3395,0.083,0.595,0.252,0.004,0.01,0.013,-0.927,-93.50112915,35.23631668
30100,"Fort Smith",0.093938597,"AR",332832,"urban",0.129,0.037,0.03,0.041,0.371,29347,0.441,10.514,0.336,0.54,0.014,1414,1,0,4.869,16.5,0.009,1241,-0.127,0.589,0.222,0.004,0.01,0.011,-0.835,-94.65261841,35.18096161
30200,"Muskogee",0.063101105,"OK",152466,"rural",0.113,0.025,0.021,0.027,0.388,27011,0.476,14.553,0.33,0.508,0.014,2018,0,0,5.189,15.3,0.02,4006,-0.094,0.56,0.155,0.004,0.019,0.02,-0.712,-95.3609848,35.62084198
30300,"Fayetteville",0.091806516,"AR",384122,"urban",0.151,0.046,0.048,0.046,0.378,32612,0.545,20.44,0.341,0.545,0.015,1293,1,0,5.063,18.3,0.008,3621,0.105,0.645,0.199,0.004,0.03,0.016,-0.967,-93.9666748,36.14060593
30401,"Stillwater",0.098464318,"OK",79601,"rural",0.047,0.072,0.071,0.068,0.568,26432,0.408,8.371,0.324,0.552,0.017,2149,0,0,5.159,16.3,0.013,1890,0.218,0.638,0.114,0.005,0.027,0.033,0.074,-97.07953644,36.2519455
30402,"Tulsa",0.078357495,"OK",921246,"urban",0.167,0.091,0.07,0.108,0.323,36227,0.493,14.218,0.351,0.515,0.016,1931,0,0,4.642,17.3,0.01,4752,-0.109,0.651,0.139,0.004,0.018,0.019,-0.121,-96.00587463,36.35557938
30403,"Okmulgee",0.081061162,"OK",51499,"urban",0.074,0.024,0.02,0.025,0.369,26343,0.392,7.645,0.316,0.514,0.012,1357,0,0,4.683,16.4,0.019,1320,-0.055,0.554,0.156,0.004,0.028,0.03,-0.717,-96.20625305,35.53468323
30501,"Woodward",0.200000003,"OK",26123,"rural",0.049,0.014,0.009,0.02,0.556,32076,0.36,9.308,0.267,0.617,0.02,1641,0,0,5.339,14.2,NA,NA,NA,0.62,0.053,0.005,0.008,0.012,-0.036,-99.54933929,36.33114624
30502,"Enid",0.149268791,"OK",102415,"rural",0.079,0.034,0.03,0.041,0.561,31507,0.372,8.515,0.287,0.595,0.018,1694,0,0,5.108,15.2,0.01,1584,-0.043,0.6,0.097,0.005,0.012,0.018,0.78,-98.65596771,36.39400482
30601,"El Paso",0.086441279,"TX",857648,"urban",0.169,0.096,0.084,0.106,0.28,25721,0.534,13.174,0.403,0.422,0.024,2251,0,0,5.51,16.6,0.009,1436,0.023,0.569,0.129,0.003,0.021,0.025,-1.899,-105.8593826,31.53549957
30602,"Alamogordo",0.084955752,"NM",81709,"rural",0.133,0.023,0.022,0.023,0.447,29489,0.38,7.508,0.305,0.557,0.013,1520,0,0,4.472,17.7,0.024,864,-0.242,0.591,0.053,0.005,0.027,0.029,-0.483,-105.5015945,33.18803787
